startTime,endTime,latitude,longitude
2023-12-10 18:11:53,2023-12-10 18:12:49,50.0675270799405,19.9146932053798
2023-12-10 18:12:55,2023-12-10 18:13:45,50.0675270799405,19.9146932053798
2023-12-10 18:34:09,2023-12-10 18:34:49,50.0675270799405,19.9146932053798
2023-12-10 18:08:56,2023-12-10 18:09:46,50.0675842577895,19.9153754147562
2023-12-10 18:11:45,2023-12-10 18:12:35,50.0675842577895,19.9153754147562
2023-12-10 18:12:43,2023-12-10 18:13:59,50.0675842577895,19.9153754147562
2023-12-10 18:33:09,2023-12-10 18:33:39,50.0675842577895,19.9153754147562
2023-12-10 18:08:06,2023-12-10 18:08:56,50.0676305331113,19.9149008238237
2023-12-10 18:11:53,2023-12-10 18:12:43,50.0676305331113,19.9149008238237
2023-12-10 18:09:36,2023-12-10 18:10:26,50.0675915064275,19.9158240730778
2023-12-10 18:11:05,2023-12-10 18:11:45,50.0675915064275,19.9158240730778
2023-12-10 18:13:23,2023-12-10 18:14:39,50.0675915064275,19.9158240730778
2023-12-10 18:32:19,2023-12-10 18:32:59,50.0675915064275,19.9158240730778
2023-12-10 18:10:16,2023-12-10 18:11:06,50.0676099963205,19.9162346223717
2023-12-10 18:14:03,2023-12-10 18:15:29,50.0676099963205,19.9162346223717
2023-12-10 18:31:39,2023-12-10 18:32:09,50.0676099963205,19.9162346223717
2023-12-10 18:09:45,2023-12-10 18:10:25,50.0676256576298,19.9166409053223
2023-12-10 18:10:56,2023-12-10 18:11:56,50.0676256576298,19.9166409053223
2023-12-10 18:14:53,2023-12-10 18:16:09,50.0676256576298,19.9166409053223
2023-12-10 18:30:59,2023-12-10 18:31:29,50.0676256576298,19.9166409053223
2023-12-10 18:06:55,2023-12-10 18:07:45,50.0675979456615,19.918316404706
2023-12-10 18:13:46,2023-12-10 18:14:36,50.0675979456615,19.918316404706
2023-12-10 18:17:43,2023-12-10 18:18:39,50.0675979456615,19.918316404706
2023-12-10 18:27:54,2023-12-10 18:28:54,50.0675979456615,19.918316404706
2023-12-10 18:06:25,2023-12-10 18:07:25,50.0677229341586,19.9184331676683
2023-12-10 18:13:56,2023-12-10 18:14:36,50.0677229341586,19.9184331676683
2023-12-10 18:17:53,2023-12-10 18:18:33,50.0677229341586,19.9184331676683
2023-12-10 18:27:39,2023-12-10 18:28:39,50.0677229341586,19.9184331676683
2023-12-10 18:06:55,2023-12-10 18:07:35,50.067724998017,19.918123987958
2023-12-10 18:13:26,2023-12-10 18:14:16,50.067724998017,19.918123987958
2023-12-10 18:16:55,2023-12-10 18:18:03,50.067724998017,19.918123987958
2023-12-10 18:28:09,2023-12-10 18:29:04,50.067724998017,19.918123987958
2023-12-10 18:09:05,2023-12-10 18:09:45,50.0676420315144,19.9170851680146
2023-12-10 18:11:46,2023-12-10 18:12:36,50.0676420315144,19.9170851680146
2023-12-10 18:15:33,2023-12-10 18:16:49,50.0676420315144,19.9170851680146
2023-12-10 18:30:19,2023-12-10 18:30:49,50.0676420315144,19.9170851680146
2023-12-10 18:07:15,2023-12-10 18:08:25,50.0676454325236,19.9179126118442
2023-12-10 18:13:06,2023-12-10 18:13:56,50.0676454325236,19.9179126118442
2023-12-10 18:16:53,2023-12-10 18:18:09,50.0676454325236,19.9179126118442
2023-12-10 18:28:39,2023-12-10 18:29:29,50.0676454325236,19.9179126118442
2023-12-10 18:08:15,2023-12-10 18:08:55,50.0676610080809,19.9175098158808
2023-12-10 18:12:26,2023-12-10 18:13:16,50.0676610080809,19.9175098158808
2023-12-10 18:16:13,2023-12-10 18:17:29,50.0676610080809,19.9175098158808
2023-12-10 18:29:29,2023-12-10 18:29:59,50.0676610080809,19.9175098158808
2023-12-10 18:07:52,2023-12-10 18:08:02,50.0671933851181,19.919827850468
2023-12-10 18:16:26,2023-12-10 18:17:16,50.0671933851181,19.919827850468
2023-12-10 18:20:13,2023-12-10 18:21:19,50.0671933851181,19.919827850468
2023-12-10 18:25:24,2023-12-10 18:26:04,50.0671933851181,19.919827850468
2023-12-10 18:15:46,2023-12-10 18:16:36,50.0672956016251,19.9194495132565
2023-12-10 18:19:33,2023-12-10 18:20:39,50.0672956016251,19.9194495132565
2023-12-10 18:26:04,2023-12-10 18:26:44,50.0672956016251,19.9194495132565
2023-12-10 18:14:26,2023-12-10 18:15:16,50.0674977770371,19.9186921862905
2023-12-10 18:18:23,2023-12-10 18:19:19,50.0674977770371,19.9186921862905
2023-12-10 18:27:24,2023-12-10 18:28:04,50.0674977770371,19.9186921862905
2023-12-10 18:14:56,2023-12-10 18:15:56,50.0674129943412,19.919011325882
2023-12-10 18:18:53,2023-12-10 18:19:59,50.0674129943412,19.919011325882
2023-12-10 18:26:44,2023-12-10 18:27:24,50.0674129943412,19.919011325882
2023-12-10 18:05:55,2023-12-10 18:06:45,50.0678052753633,19.9187206135684
2023-12-10 18:27:09,2023-12-10 18:27:59,50.0678052753633,19.9187206135684
2023-12-10 18:04:45,2023-12-10 18:05:35,50.0680057788907,19.9194540901472
2023-12-10 18:25:59,2023-12-10 18:26:39,50.0680057788907,19.9194540901472
2023-12-10 18:05:15,2023-12-10 18:06:05,50.0679056701148,19.9191026439629
